package_name,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024
ccxt,4032211,6364001,9709563,18680586,9155714,24491465,9208772,8705748
cmarkgfm,0,460260,359556,1759605,4215258,3373658,3262675,3906021
phidata,0,0,0,0,552,70730,142608,932692
amazon-textract-textractor,0,0,0,0,0,6249,133594,1056283
bigtree,0,0,0,0,0,8542,145039,671353
diffusers,0,0,0,0,0,2788762,17616407,33507216
eralchemy2,0,0,0,0,0,37231,260857,6400207
evaluate,0,0,0,0,0,691701,10082967,29951634
fiddle,0,0,0,0,0,9357,322865,644795
langchain,0,0,0,0,0,20276,34244545,162686532
marimo,0,0,0,0,0,699,27743,659140
pyasynchat,0,0,0,0,0,1513,3647,290865
pycarlo,0,0,0,0,0,1279838,2639696,4925664
pypruningradixtrie,0,0,0,0,0,3012,3302,7702
streamlit-option-menu,0,0,0,0,0,150025,511604,1435891
clarabel,0,0,0,0,0,8729,1254302,13025821
dvc-studio-client,0,0,0,0,0,2933,2913659,4475210
envier,0,0,0,0,0,3733389,35612898,100461242
google-cloud-batch,0,0,0,0,0,19795,1610571,59616019
reactivex,0,0,0,0,0,1613738,6323238,18495636
runpod,0,0,0,0,0,6654,163334,1057296
snowflake-snowpark-python,0,0,0,0,0,177991,5491392,38478898
temporalio,0,0,0,0,0,106191,2060862,10537872
trcli,0,0,0,0,0,31723,459289,1747079
types-aiobotocore-sqs,0,0,0,0,0,110985,3608374,4789655
unstructured,0,0,0,0,0,2769,4024262,16899539
mypy_boto3_migration_hub_refactor_spaces,0,0,0,0,0,73693,349743,1446601
classify_imports,0,0,0,0,0,11745,675010,3047740
types_tqdm,0,0,0,0,0,204658,1402335,6145686
types_python_jose,0,0,0,0,0,87394,529853,22362040
mypy_boto3_chime_sdk_voice,0,0,0,0,0,74049,3524620,14167070
hf_transfer,0,0,0,0,0,128873,893818,35967130
jupyter_ydoc,0,0,0,0,0,36452,234615,1049716
bc_detect_secrets,0,0,0,0,0,184373,983346,4146802
dvc_s3,0,0,0,0,0,73838,296546,1006783
microsoft_kiota_serialization_json,0,0,0,0,0,409119,2637610,10849764
types_cffi,0,0,0,0,0,623015,3866668,15534630
dataclasses_json_speakeasy,0,0,0,0,0,32603,192278,6850390
types_pyserial,0,0,0,0,0,64624,360021,1499038
manifestoo_core,0,0,0,0,0,8266,51965,22124302
jupyter_server_ydoc,0,0,0,0,0,35213,226602,1014415
tqdm_loggable,0,0,0,0,0,27606,167808,690950
opentelemetry_instrumentation_boto3sqs,0,0,0,0,0,166665,900705,3806431
streamlit_image_coordinates,0,0,0,0,0,14918,89615,374884
jsonschema_spec,0,0,0,0,0,50180,315027,1463042
azure_mgmt_appcontainers,0,0,0,0,0,209719,1464977,12111170
legacy_cgi,0,0,0,0,0,177486,1006782,4233735
esp_idf_kconfig,0,0,0,0,0,33633,310665,1160998
embedding_reader,0,0,0,0,0,4088,32393,138770
nr_util,0,0,0,0,0,13251,146015,543155
scikit_build_core,0,0,0,0,0,275748,1635947,66291783
sphinx_lint,0,0,0,0,0,18301,120099,500452
bluetooth_data_tools,0,0,0,0,0,13954,71627,251423
pyproject_fmt,0,0,0,0,0,15840,107850,4694930
apache_airflow_providers_apache_flink,0,0,0,0,0,6425,40774,196014
httpx_ws,0,0,0,0,0,125496,831850,13351036
apeye_core,0,0,0,0,0,27586,192380,850652
pyobjc_framework_symbols,0,0,0,0,0,0,102748,440918
spark_expectations,0,0,0,0,0,0,113079,479835
opentelemetry_instrumentation_cohere,0,0,0,0,0,0,782929,2762361
databricks_feature_engineering,0,0,0,0,0,0,470731,1921334
chainlit,0,0,0,0,0,0,218806,1458205
dataengine,0,0,0,0,0,0,214097,1711428
libipld,0,0,0,0,0,0,121088,947102
cadwyn,0,0,0,0,0,0,11044,117197
apache_airflow_providers_common_io,0,0,0,0,0,0,1969113,8431650
mypy_boto3_cost_optimization_hub,0,0,0,0,0,0,351343,1432655
firebase_functions,0,0,0,0,0,0,76704,347706
pipecat_ai,0,0,0,0,0,0,0,515606
arize_phoenix_evals,0,0,0,0,0,0,0,659530
langchain_chroma,0,0,0,0,0,0,0,1394177
langchain_fireworks,0,0,0,0,0,0,0,1285741
llama_index_llms_openai_like,0,0,0,0,0,0,0,389544
types_reportlab,0,0,0,0,0,0,0,1397970
reductoai,0,0,0,0,0,0,0,2499
jeedomdaemon,0,0,0,0,0,0,0,1188455
dspy,0,0,0,0,0,0,0,855987
choreographer,0,0,0,0,0,0,0,189855
